DATE,C_COMPILER,C_TUTORIAL,CSHARP_COMPILER,CSHARP_TUTORIAL,CPLUSPLUS_COMPILER,CPLUSPLUS_TUTORIAL,CALCULATORPLUS,CALENDARPLUS,COMPILERPLUS,CSS_TUTORIAL,DART_COMPILER,DART_TUTORIAL,GO_COMPILER,GO_TUTORIAL,HTML_TUTORIAL,JAVA_COMPILER,JAVA_TUTORIAL,JAVASCRIPT_COMPILER,JAVASCRIPT_TUTORIAL,KOTLIN_COMPILER,KOTLIN_TUTORIAL,MOTIVATIONPLUS,NOTESPLUS,PHP_COMPILER,PHP_TUTORIAL,PYTHON_COMPILER,PYTHON_TUTORIAL,RUBY_COMPILER,RUBY_TUTORIAL,SUCCESS_STORIES,SWIFT_COMPILER,SWIFT_TUTORIAL,TASKSPLUS,TIMEPLUS,TRAVEL_DIARIES,XML_TUTORIAL
16-08-2021,245,0,1,0,1,0,1,0,0,2,1,0,0,0,2,3,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1
17-08-2021,40,0,1,0,0,2,0,0,2,0,0,0,0,2,2,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
18-08-2021,24,2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0
19-08-2021,28,0,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,1,1,2,2,2,0,1,0,2,0,1,0,1,0,0,1,0,0,0
20-08-2021,4,3,1,0,0,2,3,2,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,6,1,0,0,3,0,0,4,2,0,0,0
22-08-2021,3,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,1,2,1,0,0
30-08-2021,9,9,1,0,0,0,0,0,32,1,0,0,5,4,0,2,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,2,0,0,0
02-09-2021,1,0,2,7,0,1,12,0,2,5,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,10,1,7,1,0
03-09-2021,1,0,0,4,0,0,10,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,16,0,7,0,0
07-09-2021,6,0,0,0,1,2,0,0,1,0,0,0,14,18,2,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0
08-09-2021,1,4,0,0,0,2,9,0,0,0,0,0,7,8,0,1,0,8,0,0,0,8,10,0,0,2,0,0,0,1,0,0,4,0,0,0
09-09-2021,0,0,1,22,5,16,3,1,2,7,1,0,2,2,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
14-09-2021,4,0,1,9,0,1,0,0,0,28,0,0,0,0,0,7,8,0,1,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1
18-09-2021,5,8,0,1,0,1,0,0,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,3,0,0
21-09-2021,2,0,1,3,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0
04-09-2021,18,6,4,1,0,0,6,0,3,1,0,5,0,1,0,4,4,0,3,0,4,1,4,0,0,2,4,0,0,1,3,6,1,4,0,3
13-09-2021,30,0,1,14,2,1,2,1,0,27,0,0,2,0,23,0,0,0,9,1,0,9,0,0,1,1,1,0,0,0,1,3,0,0,0,0
22-09-2021,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11-03-2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-03-2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-03-2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-03-2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2021,54,9,2,1,2,3,1,0,7,0,0,0,0,3,0,0,14,0,1,0,0,4,3,0,2,0,1,1,2,1,0,3,1,1,4,0
19-03-2021,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0
21-03-2021,8,63,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,55,0,0,0,0,1,0,0,0,0,0,97,1,0,0
23-03-2021,6,5,81,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,5,0,0,0,6,11,2,0,23,0,2,1,0,0,0
24-03-2021,46,42,88,1,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,2,1,0,0,2,0,5,25,0,0,0
25-03-2021,2,1,65,0,0,0,55,0,0,0,0,0,0,1,0,12,28,17,21,0,0,6,0,0,1,0,2,1,0,32,0,2,5,0,0,0
26-03-2021,7,20,6,0,0,0,16,0,8,0,3,0,0,0,0,4,1,0,1,0,0,4,0,0,0,0,3,0,0,4,0,0,1,0,0,0
28-03-2021,3,2,0,0,0,1,8,0,0,0,0,0,0,0,0,6,4,4,10,10,0,22,0,0,0,2,2,0,0,5,0,0,2,0,0,0
29-03-2021,1,0,0,0,0,0,6,0,0,0,4,0,10,7,0,2,9,0,2,6,0,19,0,0,7,0,0,0,0,5,0,0,13,0,0,0
04-04-2021,13,9,36,0,1,1,1,2,4,0,0,33,0,0,0,12,4,4,1,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
06-04-2021,2,2,38,1,1,0,1,0,0,0,0,0,0,2,0,1,2,1,1,0,0,11,0,0,0,0,1,0,0,3,0,0,5,17,3,0
